"Fecha";"Mercado";"Producto";"Precio"
"19-01-05";"Rosario";"Maiz";"U$S 59.23"
"20-01-05";"Rosario";"Maiz";"U$S 61.12"
"21-01-05";"Rosario";"Maiz";"U$S 62.69"
"24-01-05";"Rosario";"Maiz";"U$S 63.08"
"25-01-05";"Rosario";"Maiz";"U$S 63.83"
"26-01-05";"Rosario";"Maiz";"U$S 63.96"
"27-01-05";"Rosario";"Maiz";"U$S 63.74"
"28-01-05";"Rosario";"Maiz";"U$S 63.85"
"31-01-05";"Rosario";"Maiz";"U$S 63.1"
"01-02-05";"Rosario";"Maiz";"U$S 63.79"
"02-02-05";"Rosario";"Maiz";"U$S 63.25"
"04-02-05";"Rosario";"Maiz";"U$S 58.9"
"07-02-05";"Rosario";"Maiz";"U$S 59.82"
"08-02-05";"Rosario";"Maiz";"U$S 60.43"
"09-02-05";"Rosario";"Maiz";"U$S 60.54"
"10-02-05";"Rosario";"Maiz";"U$S 61.26"
"11-02-05";"Rosario";"Maiz";"U$S 61.83"
"14-02-05";"Rosario";"Maiz";"U$S 63.38"
"15-02-05";"Rosario";"Maiz";"U$S 64.74"
"16-02-05";"Rosario";"Maiz";"U$S 66.41"
"17-02-05";"Rosario";"Maiz";"U$S 68.19"
"18-02-05";"Rosario";"Maiz";"U$S 65.17"
"21-02-05";"Rosario";"Maiz";"U$S 64.5"
"22-02-05";"Rosario";"Maiz";"U$S 66.61"
"23-02-05";"Rosario";"Maiz";"U$S 66.95"
"24-02-05";"Rosario";"Maiz";"U$S 66.42"
"25-02-05";"Rosario";"Maiz";"U$S 69.26"
"28-02-05";"Rosario";"Maiz";"U$S 68.79"
"01-03-05";"Rosario";"Maiz";"U$S 64.18"
"02-03-05";"Rosario";"Maiz";"U$S 63.07"
"03-03-05";"Rosario";"Maiz";"U$S 63.86"
"04-03-05";"Rosario";"Maiz";"U$S 62.82"
"07-03-05";"Rosario";"Maiz";"U$S 61.67"
"08-03-05";"Rosario";"Maiz";"U$S 61.41"
"09-03-05";"Rosario";"Maiz";"U$S 61.39"
"10-03-05";"Rosario";"Maiz";"U$S 63.08"
"11-03-05";"Rosario";"Maiz";"U$S 65.55"
"14-03-05";"Rosario";"Maiz";"U$S 63.36"
"15-03-05";"Rosario";"Maiz";"U$S 66.74"
"16-03-05";"Rosario";"Maiz";"U$S 66.27"
"17-03-05";"Rosario";"Maiz";"U$S 65.11"
"18-03-05";"Rosario";"Maiz";"U$S 64.42"
"21-03-05";"Rosario";"Maiz";"U$S 63.18"
